selected_at,exchange,symbol,full_name,is_new_listing,selection_tier,is_low_health,health_label_primary,health_labels_other,issue_count,bid_levels,ask_levels,bid_depth_quote,ask_depth_quote,bid_larger_depth_quote,ask_larger_depth_quote,bid_total_depth_quote,ask_total_depth_quote,volume_quote,bid_ask_spread_ratio,liquidity_score
2026-06-30T16:21:24+00:00,mexc,TJR/USDT,The Top Floor Boss,true,new_low_health,true,under_depth_for_volume,,1,50,50,11.107626600000001,7.7591204199999995,334.93241998999997,123.21090991999999,,,111768.349217,0.01072647489029736,0.29882495479024196
2026-06-30T16:21:24+00:00,bitmart,ANSEM/USDT,The Black Bull-SOL,true,new_low_health,true,under_depth_for_volume,,1,43,29,8.49294,25.079386999999997,1360.871771,917.165702,,,326125.26342,0.016659894351889408,0.3682647111691625
2026-06-30T16:21:24+00:00,mexc,PARK/USDT,EarnPark,true,new_listing,false,,,0,50,50,196.31548389999998,791.3763150999999,14710.1752552,15733.719467600002,,,331411.77035,0.006334841628959175,0.7486636183665131
2026-06-30T16:21:24+00:00,bitmart,CIFRON/USDT,Cipher Mining Inc.-ETH,true,new_listing,false,,,0,36,31,450.59520000000003,318.1364,9701.4921,13153.9601,,,111332.02,0.007924921793534986,0.8678913315085597
2026-06-30T16:21:24+00:00,bitmart,WULFON/USDT,TeraWulf Inc.-ETH,true,new_listing,false,,,0,32,43,946.0451,421.8336,11571.8365,10626.5807,,,108052.49,0.00726099233561919,0.9122526210603998
2026-06-30T16:21:24+00:00,bitmart,PCGON/USDT,PG&E-ETH,true,new_listing,false,,,0,37,33,397.1886,883.3652999999999,11548.1986,11617.0122,,,91263.01,0.007586810621534813,0.9229455568891693
2026-06-30T16:21:24+00:00,bitmart,PINSON/USDT,"Pinterest, Inc.-ETH",true,new_listing,false,,,0,30,41,782.2062,467.009,11526.2969,10570.0589,,,101329.43,0.007593735168486005,0.9262623492308764
2026-06-30T16:21:24+00:00,mexc,STRCON/USDT,STRCON,true,new_listing,false,,,0,50,50,520.8642,7463.628299999999,56953.7795,55896.5952,,,16992.76,0.0038793863516134518,0.9356154117439601
2026-06-30T16:21:24+00:00,bitmart,HPEON/USDT,Hewlett Packard Enterprise Co-ETH,true,new_listing,false,,,0,32,39,736.0542,515.788,11373.625900000001,11171.9067,,,89944.92,0.0072992700729927066,0.9357321859404558
2026-06-30T16:21:24+00:00,mexc,DATA/USDT,Data Network,true,new_listing,false,,,0,50,50,10020.180674000001,2672.486828,20792.391578000002,6496.170144000001,,,204533.8619,0.004071937563624142,0.9386240244316272
2026-06-30T16:21:24+00:00,bitmart,ONON/USDT,ON Semiconductor Corporation-ETH,true,new_listing,false,,,0,35,39,667.9,341.2631,11204.3783,10645.5339,,,41726.95,0.006866216071236997,0.9595156482702212
2026-06-30T16:21:24+00:00,bitmart,SCHWON/USDT,The Charles Schwab Corporation-ETH,true,new_listing,false,,,0,37,35,728.2615,326.6998,11580.4253,11063.2075,,,42331.86,0.007416563658838048,0.9623536410013567
2026-06-30T16:21:24+00:00,bitmart,NEEON/USDT,NextEra Energy-ETH,true,new_listing,false,,,0,41,33,474.14119999999997,599.4970999999999,10140.6916,11020.544,,,39242.54,0.0071773017831109195,0.9871453403611081
2026-06-30T16:21:24+00:00,bitmart,APLDON/USDT,Applied Digital-ETH,true,new_listing,false,,,0,35,38,765.0458,480.28360000000004,12094.4231,9736.0982,,,49911.62,0.007699455728129539,0.9905875088898464
2026-06-30T16:21:24+00:00,mexc,DATA/USDC,Data Network,true,new_listing,false,,,0,30,31,2557.444538,1822.0352149999999,6314.795175,2360.081206,,,55941.1851,0.007475365273530342,0.9918025823989116
2026-07-01T07:23:56+00:00,bitmart,SU/USDT,Sanity United-ETH,false,existing_diversified,true,few_orders,shallow_liquidity;wide_spread;under_depth_for_volume;fragmented_tight_depth;shallow_total_depth;low_liquidity_score,7,1,50,0.0,0.0,0.0,0.0,,,981.7014,0.6666666666666665,0.15,,,coingecko_name_mismatch
2026-07-01T07:23:56+00:00,bitmart,GRASS/USDT,GRASS-SCROLL-ETH,false,existing_diversified,true,fragmented_tight_depth,shallow_total_depth,2,50,50,2.144221,14.353083,130.51248999999999,126.07217299999999,,,,0.0062447203242121455,0.4725737550658148,https://sheertopia.io/,grass-2,
2026-07-01T07:23:56+00:00,mexc,RBT/USDT,Rubix,false,existing_diversified,true,shallow_liquidity,wide_spread;under_depth_for_volume;fragmented_tight_depth;shallow_total_depth,5,17,50,0.0,0.0,0.0,0.0,,,2.83,0.6789074011107332,0.25,https://rubix.net/,rubix,
2026-07-01T13:23:44+00:00,bitmart,HONEY/USDT,Hivemapper,false,existing_diversified,true,few_orders,shallow_liquidity;wide_spread;under_depth_for_volume;fragmented_tight_depth;shallow_total_depth;low_liquidity_score,7,2,18,0.0,0.0,0.0,0.0,,,51.2894,1.1475409836065573,0.175,https://hivemapper.com/,hivemapper,
2026-07-01T13:23:44+00:00,mexc,XTM/USDT,XTM,false,existing_diversified,true,fragmented_tight_depth,shallow_total_depth,2,38,50,22.814854880000002,1.04999956,2500.76106005,294.50176034000003,,,4430.064084,0.009389671361502322,0.5098756995016569,,,coingecko_name_mismatch
2026-07-01T13:23:44+00:00,mexc,COMAI/USDT,COMAI,false,existing_diversified,true,shallow_liquidity,wide_spread;under_depth_for_volume;fragmented_tight_depth;shallow_total_depth,5,13,50,0.0,0.0,0.0,0.0,,,5.26613,0.496,0.25,,,coingecko_name_mismatch
